bidder,bid_amount,bid_time,starting_price,automatic
1***e(558),$182.50,14 Mar 2019 at 7:36:41PM PDT,$116.00,False
1***e(558),$182.50,14 Mar 2019 at 7:36:17PM PDT,$116.00,False
_***a(1),$180.00,14 Mar 2019 at 3:13:16PM PDT,$116.00,False
4***0(116),$178.01,11 Mar 2019 at 2:16:25PM PDT,$116.00,False
4***0(116),$174.50,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
_***a(1),$172.00,14 Mar 2019 at 3:12:57PM PDT,$116.00,False
4***0(116),$169.50,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
8***8(434),$167.00,13 Mar 2019 at 9:36:45PM PDT,$116.00,False
4***0(116),$163.73,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
y***y(5),$161.23,13 Mar 2019 at 7:23:20PM PDT,$116.00,False
4***0(116),$152.50,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
u***v(7),$150.00,13 Mar 2019 at 3:05:03AM PDT,$116.00,False
4***0(116),$144.50,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
s***w(35),$142.00,12 Mar 2019 at 8:26:16PM PDT,$116.00,False
4***0(116),$123.75,11 Mar 2019 at 2:16:25PM PDT,$116.00,True
p***i(1),$121.25,10 Mar 2019 at 12:23:57PM PDT,$116.00,False
1***i(4),$120.00,8 Mar 2019 at 8:37:27PM PST,$116.00,False
1***i(4),$118.75,8 Mar 2019 at 8:37:27PM PST,$116.00,True
k***a(0),$116.25,8 Mar 2019 at 4:35:28AM PST,$116.00,False
k***a(0),$116.00,8 Mar 2019 at 4:35:28AM PST,$116.00,True
Starting Price,$116.00,7 Mar 2019 at 6:57:17PM PST,$116.00,False
