bidder,bid_amount,bid_time,starting_price,automatic
r***n(212),$138.00,3 May 2019 at 5:29:30PM PDT,$95.00,False
r***n(212),$138.00,3 May 2019 at 5:27:44PM PDT,$95.00,False
k***s(32),$136.00,3 May 2019 at 4:18:27PM PDT,$95.00,False
k***s(32),$135.50,3 May 2019 at 4:18:27PM PDT,$95.00,True
a***g(46),$133.00,30 Apr 2019 at 9:21:26AM PDT,$95.00,False
k***s(32),$133.00,3 May 2019 at 4:18:22PM PDT,$95.00,False
a***g(46),$130.50,30 Apr 2019 at 9:21:26AM PDT,$95.00,True
2***a(2),$128.00,30 Apr 2019 at 6:13:44AM PDT,$95.00,False
a***g(46),$128.00,30 Apr 2019 at 9:21:21AM PDT,$95.00,False
2***a(2),$122.50,30 Apr 2019 at 6:13:44AM PDT,$95.00,True
a***g(46),$120.00,30 Apr 2019 at 9:21:16AM PDT,$95.00,False
2***a(2),$117.50,30 Apr 2019 at 6:13:44AM PDT,$95.00,True
a***g(46),$115.00,29 Apr 2019 at 11:43:04PM PDT,$95.00,False
2***a(2),$113.00,29 Apr 2019 at 12:17:30PM PDT,$95.00,False
2***a(2),$112.50,29 Apr 2019 at 12:17:30PM PDT,$95.00,True
-***l(378),$110.00,29 Apr 2019 at 10:09:06AM PDT,$95.00,False
2***a(2),$109.00,29 Apr 2019 at 6:19:38AM PDT,$95.00,False
2***a(2),$107.50,29 Apr 2019 at 6:19:38AM PDT,$95.00,True
b***n(30),$105.00,27 Apr 2019 at 5:34:28PM PDT,$95.00,False
b***n(30),$103.50,27 Apr 2019 at 5:34:28PM PDT,$95.00,True
u***r(0),$101.00,27 Apr 2019 at 5:23:22PM PDT,$95.00,False
u***r(0),$100.00,27 Apr 2019 at 5:23:22PM PDT,$95.00,True
b***n(30),$99.00,27 Apr 2019 at 5:34:24PM PDT,$95.00,False
u***r(0),$98.00,27 Apr 2019 at 5:23:22PM PDT,$95.00,True
b***n(30),$97.00,27 Apr 2019 at 5:34:22PM PDT,$95.00,False
u***r(0),$96.00,27 Apr 2019 at 5:23:22PM PDT,$95.00,True
b***n(30),$95.00,27 Apr 2019 at 5:22:47PM PDT,$95.00,False
b***n(30),$95.00,27 Apr 2019 at 5:22:47PM PDT,$95.00,True
Starting Price,$95.00,26 Apr 2019 at 5:29:37PM PDT,$95.00,False
